run_name       , method                       , config                      , model        , payload_type    , image_size, image_channels, image_bits_per_channel, raw_image_bits, raw_image_bytes, dz , bits, transmitted_bits, transmitted_bytes, transmitted_kib, compression_ratio, reduction_percent
baseline_mbv3  , MobileNetV3 baseline         , configs\baseline_mbv3.yaml  , baseline_mbv3, raw_image       ,        224,              3,                      8,        1204224,        150528.0,    ,     ,          1204224,          150528.0,      147.0     ,               1.0,  0.0
aqb_z64_b8     , AQB-FAS z64/b8               , configs\aqb_z64_b8.yaml     , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  64,    8,              512,              64.0,        0.0625  ,            2352.0, 99.95748299319727
ablation_noattr, Bottleneck-only              , configs\ablation_noattr.yaml, aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  64,    8,              512,              64.0,        0.0625  ,            2352.0, 99.95748299319727
ablation_attr  , + Attribute heads            , configs\ablation_attr.yaml  , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  64,    8,              512,              64.0,        0.0625  ,            2352.0, 99.95748299319727
ablation_proto , + Attribute heads + Prototype, configs\ablation_proto.yaml , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  64,    8,              512,              64.0,        0.0625  ,            2352.0, 99.95748299319727
aqb_z16_b8     , AQB-FAS z16/b8               , configs\aqb_z16_b8.yaml     , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  16,    8,              128,              16.0,        0.015625,            9408.0, 99.98937074829932
aqb_z32_b8     , AQB-FAS z32/b8               , configs\aqb_z32_b8.yaml     , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  32,    8,              256,              32.0,        0.03125 ,            4704.0, 99.97874149659864
aqb_z128_b8    , AQB-FAS z128/b8              , configs\aqb_z128_b8.yaml    , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0, 128,    8,             1024,             128.0,        0.125   ,            1176.0, 99.91496598639455
aqb_z64_b4     , AQB-FAS z64/b4               , configs\aqb_z64_b4.yaml     , aqb_fas      , quantized_latent,        224,              3,                      8,        1204224,        150528.0,  64,    4,              256,              32.0,        0.03125 ,            4704.0, 99.97874149659864
