run_name,method,dataset,num_samples,policy,threshold,acc,precision,recall,f1,auc,apcer,bpcer,acer,tn,fp,fn,tp,checkpoint
baseline_mbv3,MobileNetV3 baseline,lcc_fasd,18827,val_target_bpcer_0.020,0.163,0.8205237159398736,0.9206428304472406,0.8753331359194552,0.8974164364431222,0.7177911887741238,0.12466686408054486,0.6560247167868177,0.3903457904336813,668,1274,2105,14780,outputs\runs\baseline_mbv3\best.pt
aqb_z64_b8,AQB-FAS z64/b8,lcc_fasd,18827,val_target_bpcer_0.020,0.0003806979871402,0.7826525734317735,0.9229650201679561,0.826650873556411,0.8721569607598101,0.7013954884117952,0.173349126443589,0.5998970133882595,0.38662306991592427,777,1165,2927,13958,outputs\runs\aqb_z64_b8\best.pt
ablation_noattr,Bottleneck-only,lcc_fasd,18827,val_target_bpcer_0.020,0.0006868103588995,0.67796250066394,0.9667874396135265,0.6637251998815517,0.7870913368683499,0.8129234169353661,0.33627480011844835,0.19824922760041194,0.26726201385943016,1557,385,5678,11207,outputs\runs\ablation_noattr\best.pt
ablation_attr,+ Attribute heads,lcc_fasd,18827,val_target_bpcer_0.020,0.0054166869110331,0.8031550432888936,0.9280285807080221,0.8461356233343204,0.8851920693928129,0.7356992248099841,0.1538643766656796,0.5705458290422245,0.362205102853952,834,1108,2598,14287,outputs\runs\ablation_attr\best.pt
ablation_proto,+ Attribute heads + Prototype,lcc_fasd,18827,val_target_bpcer_0.020,0.000614877765381,0.8175492643543847,0.9217887606623181,0.8704175303523838,0.8953669012153889,0.6961688187524073,0.12958246964761622,0.6421215242018538,0.385851996924735,695,1247,2188,14697,outputs\runs\ablation_proto\best.pt
aqb_z16_b8,AQB-FAS z16/b8,lcc_fasd,18827,val_target_bpcer_0.020,0.0010691263391734,0.8259414670420141,0.9143727161997564,0.8891915901687889,0.901606365410599,0.6847091718467478,0.11080840983121114,0.7239958805355304,0.41740214518337077,536,1406,1871,15014,outputs\runs\aqb_z16_b8\best.pt
aqb_z32_b8,AQB-FAS z32/b8,lcc_fasd,18827,val_target_bpcer_0.020,7.242022334607315e-05,0.8601476602751368,0.9225068184513222,0.9214687592537756,0.9219874966667654,0.7714172202031857,0.07853124074622446,0.6730175077239959,0.3757743742351102,635,1307,1326,15559,outputs\runs\aqb_z32_b8\best.pt
aqb_z128_b8,AQB-FAS z128/b8,lcc_fasd,18827,val_target_bpcer_0.020,0.0016642601764859,0.7747915228129814,0.9236180904522613,0.8164050932780574,0.8667085822068532,0.6931841587866305,0.18359490672194256,0.5870236869207003,0.3853092968213214,802,1140,3100,13785,outputs\runs\aqb_z128_b8\best.pt
aqb_z64_b4,AQB-FAS z64/b4,lcc_fasd,18827,val_target_bpcer_0.020,0.001150962200885,0.7370797259255325,0.9242801279772485,0.769914124962985,0.840064620355412,0.6670374987763288,0.2300858750370151,0.5484037075180227,0.3892447912775189,877,1065,3885,13000,outputs\runs\aqb_z64_b4\best.pt
