epoch,train_loss,train_loss_pad,train_loss_total,val_acc,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp
0,0.010936871569762202,0.0005468599265441298,0.0005468599265441298,0.9970030380162574,0.9977827050997783,0.99992892907019,0.0029138590420688397,0.0031705770450221942,0.003042218043545517,0.7721818181818182,15720,50,96,32850
1,0.00374257306455063,3.341707997606136e-05,3.341707997606136e-05,0.9984604647343789,0.998861341794829,0.9999845156970029,0.0015176349177441874,0.0015852885225110971,0.0015514617201276423,0.25302020202020203,15745,25,50,32896
2,0.0027921420397759096,0.0004072003357578069,0.0004072003357578069,0.997167255111257,0.997905663813513,0.9999237746931326,0.0020943361864869787,0.004375396322130628,0.0032348662543088035,0.7368989898989899,15701,69,69,32877
3,0.0023823173537542734,2.5151884983642958e-05,2.5151884983642958e-05,0.9987683717875031,0.9990895572213286,0.9999870774878405,0.0007588174588720937,0.0022194039315155357,0.0014891106951938147,0.9838787878787879,15735,35,25,32921
4,0.0020232400704480835,8.56155893416144e-05,8.56155893416144e-05,0.9983373019131292,0.9987698382565116,0.9999787203910583,0.0019425726947125599,0.001077996195307546,0.0015102844450100529,0.10684848484848485,15753,17,64,32882
5,0.0016532105128282538,1.8845921658794396e-05,1.8845921658794396e-05,0.9990762788406273,0.9993171161054373,0.9999232646446189,0.000607053967097675,0.0015852885225110971,0.0010961712448043861,0.999,15745,25,20,32926
6,0.0015407564335650425,2.6032626919914037e-05,2.6032626919914037e-05,0.9965309138681336,0.9974322743364177,0.9999276741583746,0.0037030291992958173,0.0029803424223208623,0.00334168581080834,0.988919191919192,15723,47,122,32824
7,0.001421915512736542,6.428421329474077e-05,6.428421329474077e-05,0.9986862632400033,0.9990282712337919,0.9999237458224621,0.0014265768226795362,0.001077996195307546,0.0012522865089935411,0.999,15753,17,47,32899
8,0.0012280601200367854,1.2220542885188479e-05,1.2220542885188479e-05,0.9991173331143772,0.9993475259092909,0.9999217017789838,0.00048564317367813997,0.0017121116043119849,0.0010988773889950623,0.999,15743,27,16,32930
