Method,Latent bits,Best epoch,Test ACC (%),Test Precision (%),Test Recall (%),Test F1 (%),Test AUC (%),Test APCER (%),Test BPCER (%),Test ACER (%),Val ACER (%)
Baseline MobileNetV3,Full image,5,84.349,99.889,77.836,87.494,99.447,22.164,0.206,11.185,0.110
"AQB-FAS z=16, b=8",128.0,1,85.502,99.947,79.431,88.516,99.612,20.569,0.100,10.334,0.103
"AQB-FAS z=32, b=8",256.0,8,84.947,99.960,78.631,88.022,99.595,21.369,0.075,10.722,0.070
"AQB-FAS z=64, b=4",256.0,1,82.367,99.938,74.978,85.677,99.640,25.022,0.110,12.566,0.095
"AQB-FAS z=64, b=8",512.0,1,83.613,99.942,76.748,86.823,99.663,23.252,0.105,11.679,0.104
"AQB-FAS z=64, b=8",512.0,1,,,,,,,,,0.330
"AQB-FAS z=64, b=8",512.0,1,80.381,99.971,72.129,83.798,99.520,27.871,0.050,13.960,0.108
"AQB-FAS z=64, b=8",512.0,6,80.201,99.985,71.863,83.623,99.519,28.137,0.025,14.081,0.054
"AQB-FAS z=128, b=8",1024.0,4,77.481,99.894,68.057,80.958,98.479,31.943,0.171,16.057,0.145
